Contrato,Objeto,tipo_obra,Endereco,Bairro,inicio,Fim,unidade_gestora,Aditivo,Tipo_contrato,CNPJ,Empresa,orgao_solicitante,modalidade_licitacao,licitacao,processo,Prazo,prazo_dias,Valor
030/2024/SEMINF,"constitui objeto do presente instrumento a prorrogação do prazo de vigência do contrato nº 030/2024-seminf, referente à contratação de empresa especializada em construção civil para execução das obras de construção de praça no aterrado do imburo, no bairro ajuda de cima, macaé, com fornecimento de materiais, equipamentos e mão-de-obra.",Urbanização,,Ajuda De Cima,2025-06-09T00:00:00Z,2025-05-12T00:00:00Z,Prefeitura Municipal de Macaé,1º Aditivo,Obras e Serviços de Engenharia,10530789/0001-46,Construtora Lms Ltda,Secretaria Executiva De Obras,Concorrência Pública,001/2024SEMINF,76403/2023,90 DIAS,90,1749940.75
041/2025SEMINF,"contratação de empresa especializada em construção civil, para construção do prédio do hemocentro, localizado à rua são joão, s/n ? centro, com fornecimento de materiais, mão de obra e equipamentos necessários",Saúde,Rua são joão,,2025-12-12T00:00:00Z,2027-03-10T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,08.579.251/0001-84,Construtora M. Alves Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,020/2025SEMINF,76408/2023,660 DIAS,660,1.65E7
040/2025SEMINF,"contratação de empresa especializada em construção civil para construção de 3 tabuleiros de pontes no sana (são bento, jaccoud e boa sorte 2), localizada em macaé/rj, com fornecimento de materiais, mão de obra e equipamentos necessários",Construção,,,2025-11-27T00:00:00Z,2026-06-29T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,31.654.440/0001-96,Silgui Comércio E Serviços Ltda,Secretaria Executiva De Interior,Concorrência Eletrônica,025/2025SEMINF,SEI-001656/2025,210 DIAS,210,1663930.25
037/2025SEMINF,"contratação de empresa especializada em construção civil para reforma e ampliação da guarda municipal, localizada no botafogo, macaé/rj, com fornecimento de materiais, equipamentos e mão-de-obra",Reforma,,Botafogo,2025-11-26T00:00:00Z,2027-09-17T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,01.309.292/0001-01,Sercon  Construções Ltda,Secretaria Municipal De Ordem Pública,Concorrência Eletrônica,021/2025SEMINF,38.705/2024,660 DIAS,660,9249000.39
036/2025SEMINF,"contratação de empresa especializada para execução de sistema de drenagem de águas pluviais na rua dos eucaliptos e entornos no bairro aroeira, localizados em macaé/rj, com fornecimento de materiais, equipamentos e mão de obra",Drenagem,Rua dos eucaliptos e entornos no bairro aroeira,Aroeira,2025-11-13T00:00:00Z,2027-06-01T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,63396878/0001-08,Consórcio Aroeira Macaé,Secretaria Executiva De Obras,Concorrência Eletrônica,018/2025SEMINF,11606/2025,420 DIAS,420,8925814.65
035/2025SEMINF,"contratação de empresa especializada em construção civil para execução das obras de construção de praça no jardim guanabara, localizado no bairro lagoa, macaé/rj, com fornecimento de materiais, equipamentos e mão-de-obra,",Urbanização,,Lagoa,2025-12-12T00:00:00Z,2027-05-02T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,37.079.460/0001-67,New Construções E Serviços Ltda,Secretaria Executiva De Obras,Concorrência Eletrônica,023/2025SEMINF,75851/2022,420 DIAS,420,3348742.63
033/2025SEMINF,"contratação de empresa especializada para prestação de serviços de locação, instalação, operação e manutenção de 10 (dez) banheiros públicos autolimpantes e sustentáveis, com projeto antivandalismo conforme condições, quantidades e exigências estabelecidas no termo de referência, para atender às necessidades da secretaria executiva de serviços públicos,",Outros,,,2025-10-21T00:00:00Z,2026-10-21T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,45.792.279/0001-21,Cleanse Mobiliarios Urbanos Ltda,Secretaria Executiva De Serviços Públicos,Pregão Eletrônico,058/2025SEMINF,SEI-001790/2025,01 ANO,1,1414800.0
032/2025SEMINF,"contratação de empresa especializada em construção civil para construção de praça, localizada à avenida alvares de azevedo, esquina com a avenida b, bairro da ajuda de baixo, macaé/rj, com fornecimento de materiais, equipamentos e mão-de-obra",Urbanização,Avenida alvares de azevedo,Da Ajuda De Baixo,2025-03-10T00:00:00Z,2026-11-27T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,17.232.744/0001-34,Consórcio Bruta- Serven,Secretaria Executiva De Obras,Concorrência Eletrônica,004/2025-SEMINF,39679/2024,420 DIAS,420,4141883.68
031/2025seminf,"contratação de empresa especializada em construção civil para execução da infraestrutura do bairro de piracema, macaé/rj, com fornecimento de materiais, equipamentos necessários e mão-de-obra",Construção,,De Piracema,2025-09-24T00:00:00Z,2027-04-17T00:00:00Z,Prefeitura Municipal de Macaé,Contrato Original,Obras e Serviços de Engenharia,"1,09488E+13",Saga Construtora Ltda,Secretaria Municipal De Infraestrutura,Concorrência Eletrônica,012/2024SEMINF,75346/2024,570 DIAS,570,5.061685192E7
029/2025SEMINF,"cláusula primeira - o presente instrumento objetiva incluir e alterar dados na cláusula terceira do contrato, conforme os elementos constantes do processo administrativo nº 401483/2024 as despesas oriundas deste contrato correrão por conta dos recursos orçamentários consignados ao município, programa de trabalho nº 103020009.2.254 e elemento de despesa nº 33.90.39.00.00 ?outros serviços de terceiros ? pe e, nota de empenho nº 001525/2025, emitida em 26/09/2025, vigente para o exercício de 2025",Outros,,,2025-08-09T00:00:00Z,2026-07-03T00:00:00Z,Prefeitura Municipal de Macaé,1º Termo de Apostilamento,Obras e Serviços de Engenharia,40.571.167/0001-27,Rh Serviços E Empreendimentos Ltda,Secretaria Municipal De Saúde,Concorrência Eletrônica,016/2025SEMINF,401483/2024,180 DIAS,180,194664.55
